username,age,gender,type_of_consulting,consulting_content,sentiment,the_consultant
higginsmackenzie,52,Other,Lifestyle,Home organization hacks,0.81,Human
alyssawilliams,56,Female,Technology,Cybersecurity best practices,0.18,Human
harold30,70,Other,Technology,Cybersecurity best practices,0.93,AI
ryan68,68,Other,Personal,Life goal planning,0.97,Human
jennifer47,47,Male,Business,Starting a small business,0.55,AI
stevencrawford,48,Other,Health,Exercise routines,0.45,Human
jamesmendoza,24,Female,Technology,Gadget recommendations,0.65,Human
desiree56,27,Other,Business,Leadership and management,0.95,Human
nguyencynthia,64,Other,Health,Chronic illness management,0.14,Human
mistyglenn,69,Male,Financial,Tax optimization,0.58,Human
qhale,62,Male,Technology,Gadget recommendations,0.32,Human
jose62,54,Other,Business,Leadership and management,0.13,AI
patrick97,49,Male,Lifestyle,Sustainable living tips,0.92,Human
moorezachary,20,Female,Lifestyle,Sustainable living tips,0.16,AI
jacobklein,55,Other,Health,Mental wellness,0.66,Human
johnsonjeffrey,54,Male,Financial,Tax optimization,0.77,AI
lholland,39,Other,Lifestyle,Sustainable living tips,0.94,Human
owilson,68,Male,Business,Marketing strategies,0.81,Human
wendycarson,48,Other,Lifestyle,Home organization hacks,0.96,Human
krobertson,29,Other,Health,Mental wellness,0.98,AI
rnelson,30,Female,Financial,Investment strategies,0.19,Human
gabriel85,52,Other,Business,Marketing strategies,0.71,Human
kcontreras,35,Female,Health,Exercise routines,0.88,AI
wroth,20,Male,Health,Chronic illness management,0.36,Human
christy45,21,Male,Personal,Stress management techniques,0.34,AI
jonathonmichael,23,Male,Lifestyle,Sustainable living tips,0.05,AI
vfrancis,64,Male,Financial,Investment strategies,0.76,AI
morrisonalicia,18,Male,Health,Dietary advice,0.97,AI
lcampbell,49,Other,Lifestyle,Personal development,0.82,Human
jfrancis,55,Male,Personal,Life goal planning,0.32,AI
shawnacolon,45,Female,Lifestyle,Personal development,0.79,Human
uterry,70,Male,Lifestyle,Travel planning,0.73,Human
suzannebrooks,58,Female,Financial,Tax optimization,0.89,AI
wesley60,48,Other,Financial,Investment strategies,0.85,AI
stephen89,50,Other,Business,Leadership and management,0.19,AI
carpentersusan,21,Male,Financial,Investment strategies,0.71,AI
odonnellchelsea,36,Female,Business,Productivity tools,0.2,AI
seth46,50,Other,Technology,Software development tips,0.84,AI
ybartlett,39,Female,Financial,Budgeting and saving,0.51,Human
jenningsashley,33,Male,Lifestyle,Home organization hacks,0.45,AI
dwalker,30,Male,Financial,Retirement planning,0.23,Human
sheltonrobert,42,Female,Technology,Gadget recommendations,0.03,Human
ilynch,68,Female,Lifestyle,Home organization hacks,0.28,AI
kcabrera,52,Male,Health,Chronic illness management,0.8,AI
mestes,38,Male,Lifestyle,Sustainable living tips,0.54,AI
cherylbrown,65,Other,Health,Exercise routines,0.97,AI
shannonpeterson,28,Other,Technology,Gadget recommendations,0.0,Human
walter40,56,Male,Lifestyle,Travel planning,0.9,Human
michele54,64,Male,Health,Mental wellness,0.43,Human
geraldsimmons,63,Female,Technology,Software development tips,0.75,AI
alyssasmith,22,Male,Financial,Tax optimization,0.3,Human
wisegina,61,Other,Financial,Retirement planning,0.37,Human
colleenjimenez,38,Other,Health,Dietary advice,0.86,AI
heather45,37,Female,Personal,Stress management techniques,0.8,Human
william35,26,Male,Technology,Gadget recommendations,0.58,Human
ile,54,Female,Technology,Emerging tech trends,0.89,AI
jennifer87,44,Female,Technology,Cybersecurity best practices,1.0,AI
josephthompson,33,Male,Technology,Software development tips,0.14,Human
rachel79,32,Other,Health,Mental wellness,0.89,AI
ashley88,67,Male,Personal,Life goal planning,0.98,Human
ocase,64,Male,Business,Starting a small business,0.74,Human
deborah69,42,Male,Financial,Budgeting and saving,0.76,AI
jaynelson,36,Other,Personal,Stress management techniques,0.76,Human
mlang,48,Male,Business,Productivity tools,0.67,AI
riosmelanie,53,Male,Technology,Software development tips,0.28,Human
ymoore,61,Other,Lifestyle,Personal development,0.72,Human
selena93,44,Female,Business,Leadership and management,0.04,AI
johnwilliams,43,Male,Business,Marketing strategies,0.54,AI
kathleen65,37,Other,Personal,Life goal planning,0.06,AI
mosleynatasha,28,Other,Financial,Tax optimization,0.04,Human
jmeadows,60,Other,Business,Marketing strategies,0.3,AI
johnlogan,18,Male,Personal,Stress management techniques,0.04,AI
contrerastiffany,25,Other,Financial,Tax optimization,0.88,AI
jstephens,57,Other,Lifestyle,Sustainable living tips,0.79,Human
fgardner,39,Female,Financial,Tax optimization,0.62,Human
banksashley,63,Other,Business,Starting a small business,0.84,Human
webbdiana,23,Male,Financial,Budgeting and saving,0.88,AI
meagan97,67,Female,Technology,Cybersecurity best practices,0.51,Human
kevin65,18,Other,Business,Starting a small business,0.95,Human
ashley69,28,Other,Financial,Budgeting and saving,0.01,Human
dickersonrobert,29,Male,Technology,Gadget recommendations,0.29,Human
emilymanning,23,Male,Lifestyle,Home organization hacks,0.04,AI
ohahn,69,Other,Health,Exercise routines,0.9,AI
wthompson,39,Female,Business,Leadership and management,0.92,Human
mary07,66,Female,Business,Productivity tools,0.85,Human
haleydaniel,69,Male,Personal,Relationship advice,0.08,AI
wendy19,70,Male,Financial,Budgeting and saving,0.95,AI
dominique53,55,Male,Financial,Tax optimization,0.06,Human
wbrowning,33,Other,Personal,Relationship advice,0.88,Human
raymondwatson,53,Male,Lifestyle,Personal development,0.72,Human
myerscarlos,18,Other,Business,Marketing strategies,0.18,AI
debraryan,23,Male,Lifestyle,Sustainable living tips,0.83,Human
zhughes,56,Male,Health,Chronic illness management,0.61,Human
matthew55,49,Male,Financial,Tax optimization,0.65,Human
josephgrant,68,Male,Personal,Stress management techniques,0.73,Human
montgomerydebbie,70,Female,Technology,Cybersecurity best practices,0.93,AI
jrobbins,58,Other,Technology,Cybersecurity best practices,0.47,Human
masseyjill,26,Male,Business,Marketing strategies,0.7,Human
brandonmartinez,56,Female,Technology,Emerging tech trends,0.77,AI
sarah58,43,Other,Technology,Gadget recommendations,0.73,AI
collinsnicole,37,Male,Financial,Budgeting and saving,0.64,Human
connie08,47,Other,Business,Productivity tools,0.1,AI
chavezolivia,22,Female,Business,Productivity tools,0.42,AI
robinsonjustin,58,Other,Business,Marketing strategies,0.14,AI
anita72,42,Female,Lifestyle,Personal development,0.34,AI
joshuawalsh,40,Other,Business,Productivity tools,0.56,AI
juliaharper,36,Male,Technology,Cybersecurity best practices,0.91,AI
jhenderson,35,Male,Technology,Gadget recommendations,0.39,Human
clarkalice,57,Male,Personal,Career coaching,0.75,Human
xhodge,41,Male,Health,Mental wellness,0.67,Human
jacobsstephanie,38,Other,Personal,Stress management techniques,0.01,AI
dawnstephenson,59,Male,Technology,Gadget recommendations,0.79,AI
csimpson,65,Female,Financial,Retirement planning,0.89,AI
dlane,26,Male,Financial,Tax optimization,0.7,AI
jenna29,42,Other,Lifestyle,Home organization hacks,0.79,Human
zsmith,35,Other,Health,Dietary advice,0.74,AI
wisekevin,45,Female,Lifestyle,Home organization hacks,1.0,Human
byrdivan,55,Male,Business,Marketing strategies,0.84,Human
mirandaalvin,31,Male,Personal,Life goal planning,0.73,Human
samanthavelasquez,48,Male,Lifestyle,Sustainable living tips,0.82,Human
crystal89,55,Female,Technology,Cybersecurity best practices,0.62,Human
andrew04,64,Other,Technology,Emerging tech trends,0.4,Human
steven55,61,Female,Lifestyle,Travel planning,0.11,AI
nathan55,44,Female,Health,Chronic illness management,0.47,Human
timothy11,24,Female,Business,Productivity tools,0.14,AI
alice58,62,Other,Personal,Life goal planning,0.13,AI
michelle64,58,Other,Business,Productivity tools,0.87,Human
choilinda,30,Female,Health,Mental wellness,0.79,AI
malvarado,44,Male,Health,Exercise routines,0.75,AI
jessicafisher,33,Female,Lifestyle,Personal development,0.53,AI
pgonzalez,44,Female,Lifestyle,Personal development,0.1,AI
harriselizabeth,38,Female,Lifestyle,Sustainable living tips,0.86,Human
scottadams,47,Other,Business,Productivity tools,0.71,Human
williamsonshawn,61,Female,Financial,Investment strategies,0.15,Human
reginald54,70,Other,Business,Leadership and management,0.42,AI
ehernandez,22,Other,Technology,Emerging tech trends,1.0,AI
barbara19,20,Other,Technology,Gadget recommendations,0.77,AI
maria54,19,Female,Health,Chronic illness management,0.36,Human
justinyoung,63,Other,Health,Mental wellness,0.27,Human
rrogers,64,Male,Personal,Relationship advice,0.59,AI
xharvey,55,Other,Business,Starting a small business,0.95,Human
michelle30,64,Other,Business,Productivity tools,0.98,Human
kevin32,32,Female,Personal,Relationship advice,0.78,Human
andrewgriffith,45,Male,Personal,Career coaching,0.83,Human
millerpatrick,37,Other,Health,Exercise routines,0.42,Human
williamzuniga,47,Other,Business,Starting a small business,0.11,AI
orodriguez,36,Male,Health,Chronic illness management,0.14,Human
bryanaguirre,60,Male,Lifestyle,Travel planning,0.8,Human
oscarsmith,19,Female,Lifestyle,Travel planning,0.61,AI
myersmatthew,64,Female,Lifestyle,Travel planning,0.53,AI
kirkbonnie,31,Male,Personal,Relationship advice,0.73,Human
hjuarez,19,Male,Technology,Gadget recommendations,0.27,Human
erinellis,59,Female,Health,Exercise routines,0.38,Human
martinezmichelle,37,Female,Lifestyle,Sustainable living tips,0.81,Human
nathan26,49,Other,Health,Chronic illness management,0.98,AI
joe67,35,Other,Financial,Tax optimization,0.01,Human
porterkevin,40,Other,Technology,Cybersecurity best practices,0.06,Human
aarondennis,26,Female,Business,Productivity tools,0.75,Human
jparker,47,Male,Health,Chronic illness management,0.01,Human
reedjustin,29,Other,Business,Starting a small business,0.12,AI
hannahwalker,69,Female,Personal,Stress management techniques,0.73,Human
carlos90,65,Male,Business,Starting a small business,0.12,AI
justin14,45,Male,Lifestyle,Travel planning,0.04,AI
jennifergalloway,57,Other,Lifestyle,Home organization hacks,0.21,AI
ashleyhanson,28,Male,Health,Exercise routines,0.84,AI
michael59,54,Other,Health,Exercise routines,0.22,Human
jeffrey15,55,Male,Lifestyle,Home organization hacks,0.67,AI
christopheryoung,57,Other,Health,Chronic illness management,0.85,AI
catherine61,19,Female,Financial,Investment strategies,0.16,Human
zbautista,39,Female,Financial,Retirement planning,0.84,AI
sean71,68,Other,Personal,Life goal planning,0.28,AI
justin30,53,Other,Lifestyle,Personal development,0.29,AI
jennifersmith,54,Other,Financial,Tax optimization,0.5,Human
daniel17,36,Female,Business,Productivity tools,0.78,Human
dominguezkatie,41,Female,Lifestyle,Home organization hacks,0.51,AI
morristhomas,57,Female,Health,Chronic illness management,0.41,Human
alee,40,Female,Personal,Life goal planning,0.63,AI
john13,19,Male,Financial,Budgeting and saving,0.9,AI
kristen47,60,Female,Business,Starting a small business,0.14,AI
adammullen,68,Male,Business,Marketing strategies,0.76,Human
michael32,37,Male,Lifestyle,Personal development,0.87,Human
millschristine,53,Other,Technology,Emerging tech trends,0.57,Human
daviddoyle,64,Other,Technology,Gadget recommendations,0.42,Human
matthewcollins,31,Other,Technology,Software development tips,0.78,AI
daniellehernandez,30,Other,Technology,Software development tips,0.97,AI
gwendolyn53,46,Female,Personal,Life goal planning,0.58,AI
bondmegan,30,Female,Business,Leadership and management,0.51,AI
nboyd,18,Other,Lifestyle,Personal development,0.88,Human
davisgregory,27,Female,Lifestyle,Home organization hacks,0.22,AI
thomashansen,26,Other,Health,Dietary advice,0.98,AI
jennifer18,26,Other,Business,Starting a small business,0.46,AI
boltoncatherine,37,Male,Personal,Relationship advice,0.57,AI
tommy94,18,Female,Lifestyle,Travel planning,0.6,AI
christina61,54,Male,Personal,Life goal planning,0.79,Human
steelejason,35,Female,Health,Chronic illness management,0.29,Human
yvonne52,57,Other,Health,Exercise routines,0.26,Human
christiemurphy,31,Other,Financial,Budgeting and saving,0.95,AI
austinlowe,24,Other,Business,Marketing strategies,0.37,AI
sarahhernandez,27,Other,Health,Exercise routines,0.37,Human
rogersnatalie,30,Female,Health,Mental wellness,0.94,AI
bking,60,Female,Health,Exercise routines,0.31,Human
fevans,29,Female,Lifestyle,Personal development,0.51,AI
madison44,25,Male,Financial,Retirement planning,0.94,AI
william91,38,Female,Personal,Relationship advice,0.9,Human
joshuacollins,19,Other,Personal,Career coaching,0.95,Human
lesliezamora,19,Female,Lifestyle,Personal development,0.05,AI
robert80,45,Female,Business,Marketing strategies,0.19,AI
pjones,70,Male,Business,Leadership and management,0.85,Human
boothgabriella,68,Male,Lifestyle,Travel planning,0.42,AI
jonathan66,60,Other,Personal,Career coaching,0.6,AI
faguilar,32,Other,Lifestyle,Travel planning,0.88,Human
davidmoon,19,Male,Technology,Emerging tech trends,0.75,AI
brandon90,37,Other,Financial,Tax optimization,0.48,Human
toddjulie,19,Male,Health,Chronic illness management,0.9,AI
mark27,42,Other,Lifestyle,Home organization hacks,0.87,Human
ckey,62,Female,Technology,Gadget recommendations,0.65,Human
elizabeth94,69,Other,Personal,Stress management techniques,0.8,Human
summersgarrett,48,Male,Health,Dietary advice,0.98,AI
joshuarodriguez,36,Other,Personal,Life goal planning,0.19,AI
portermarie,46,Female,Technology,Cybersecurity best practices,0.35,Human
kayla10,70,Other,Technology,Gadget recommendations,0.81,AI
myersfernando,22,Male,Personal,Relationship advice,0.39,AI
eklein,30,Female,Technology,Cybersecurity best practices,0.41,Human
ipope,68,Female,Business,Starting a small business,0.38,AI
omooney,49,Other,Business,Leadership and management,0.68,AI
nbrown,70,Other,Technology,Gadget recommendations,0.47,Human
alexishoward,50,Other,Business,Marketing strategies,0.43,AI
jenniferfowler,26,Other,Lifestyle,Personal development,0.64,AI
gregory11,18,Female,Personal,Life goal planning,0.85,Human
amurphy,19,Female,Technology,Gadget recommendations,0.98,AI
wendywilliams,38,Other,Lifestyle,Personal development,0.71,Human
kennetharmstrong,39,Female,Lifestyle,Sustainable living tips,0.12,AI
jonesjennifer,35,Other,Personal,Career coaching,0.56,AI
pmartin,41,Male,Business,Leadership and management,0.93,Human
ikennedy,66,Other,Personal,Career coaching,0.19,AI
carolyn97,27,Male,Health,Exercise routines,0.83,AI
kelsey43,46,Male,Personal,Life goal planning,0.83,Human
jason60,31,Male,Technology,Cybersecurity best practices,0.39,Human
timothylynn,45,Other,Technology,Gadget recommendations,0.13,Human
ian01,69,Male,Technology,Cybersecurity best practices,0.99,AI
ncalderon,20,Other,Business,Leadership and management,0.22,AI
jorgeburns,24,Other,Lifestyle,Travel planning,0.07,AI
johnwilliams,21,Female,Personal,Relationship advice,0.63,AI
brockalicia,39,Other,Technology,Cybersecurity best practices,0.25,Human
richard10,23,Male,Health,Chronic illness management,0.76,AI
sarahanthony,22,Female,Technology,Gadget recommendations,0.54,Human
williamskevin,23,Female,Personal,Stress management techniques,0.19,AI
fboyd,61,Other,Technology,Gadget recommendations,0.89,AI
lincathy,48,Female,Financial,Tax optimization,0.95,AI
zacharybrown,45,Female,Financial,Investment strategies,0.92,AI
alexander38,33,Other,Personal,Relationship advice,0.83,Human
snyderchristy,24,Male,Lifestyle,Travel planning,0.79,Human
danielwalker,58,Other,Lifestyle,Home organization hacks,0.81,Human
haletroy,18,Female,Financial,Tax optimization,0.6,Human
benjaminsmith,62,Male,Lifestyle,Personal development,0.71,Human
michellegarrett,40,Other,Personal,Career coaching,0.84,Human
johnhill,25,Female,Personal,Relationship advice,0.93,Human
rodriguezsydney,52,Female,Personal,Career coaching,0.85,Human
andreahenderson,27,Other,Technology,Software development tips,0.39,Human
powellkayla,62,Female,Personal,Career coaching,0.41,AI
dana26,25,Female,Lifestyle,Sustainable living tips,0.39,AI
francisandrew,22,Other,Health,Chronic illness management,0.7,AI
mendozakeith,43,Male,Business,Marketing strategies,0.93,Human
tcohen,53,Other,Lifestyle,Sustainable living tips,0.81,Human
jimmy86,48,Male,Technology,Cybersecurity best practices,0.96,AI
pcoleman,62,Male,Lifestyle,Personal development,0.46,AI
devinadams,59,Male,Health,Dietary advice,0.56,Human
larsenchristopher,27,Female,Health,Chronic illness management,0.26,Human
ana52,47,Female,Lifestyle,Travel planning,0.51,AI
hrivera,21,Female,Lifestyle,Personal development,0.86,Human
thompsonjohn,35,Male,Business,Starting a small business,0.93,Human
amy06,36,Female,Personal,Life goal planning,0.92,Human
kimberlyrodriguez,34,Female,Personal,Stress management techniques,0.98,Human
danielbrown,31,Female,Technology,Gadget recommendations,0.76,AI
torresallison,40,Other,Technology,Software development tips,0.91,AI
richard70,40,Female,Health,Dietary advice,0.78,AI
john18,62,Other,Technology,Gadget recommendations,0.15,Human
elizabeth45,19,Other,Health,Chronic illness management,0.91,AI
joseph22,27,Other,Financial,Tax optimization,0.36,Human
meganpalmer,61,Male,Business,Starting a small business,0.75,Human
tamara11,47,Female,Personal,Relationship advice,0.98,Human
davidjennifer,62,Female,Health,Chronic illness management,0.4,Human
apierce,18,Other,Technology,Software development tips,0.63,Human
aadams,48,Male,Lifestyle,Personal development,0.39,AI
hardychristian,28,Female,Financial,Retirement planning,0.78,AI
eleon,46,Female,Personal,Stress management techniques,0.34,AI
ethan82,68,Female,Health,Exercise routines,0.25,Human
branchfrank,47,Other,Technology,Emerging tech trends,0.71,AI
hschwartz,62,Other,Health,Dietary advice,0.14,Human
brosario,59,Male,Personal,Stress management techniques,0.99,Human
sjordan,41,Female,Business,Marketing strategies,0.72,Human
robert33,18,Other,Business,Leadership and management,0.21,AI
derekfitzgerald,18,Female,Financial,Retirement planning,0.16,Human
santossonya,47,Other,Business,Starting a small business,0.46,AI
hurleyalyssa,29,Other,Personal,Career coaching,0.12,AI
lauralester,57,Other,Technology,Gadget recommendations,0.85,AI
mcgrathdavid,33,Female,Lifestyle,Personal development,0.36,AI
rivasrobin,26,Female,Technology,Emerging tech trends,0.66,Human
gregoryanderson,34,Other,Lifestyle,Home organization hacks,0.29,AI
krausedanielle,20,Male,Business,Productivity tools,0.76,Human
garciaann,45,Female,Personal,Career coaching,0.03,AI
hwilliams,35,Female,Financial,Tax optimization,0.76,AI
wdavis,39,Male,Health,Mental wellness,0.55,Human
brendaking,44,Other,Business,Marketing strategies,0.24,AI
zgraham,65,Other,Technology,Cybersecurity best practices,0.75,AI
margaretanderson,31,Other,Financial,Budgeting and saving,0.02,Human
michaelware,41,Male,Technology,Cybersecurity best practices,0.68,Human
sarah89,30,Female,Financial,Budgeting and saving,0.98,AI
lindawilliams,49,Male,Technology,Emerging tech trends,0.94,AI
laurensmith,30,Female,Financial,Tax optimization,0.46,Human
